No,회사,제목,지역,상세보기 페이지
1,(주)엘지씨엔에스,[LG CNS] SCM 컨설팅 영역 컨설턴트 모집(경력),전국,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604070000142&src=etc*search
2,커리어서포트,[석유화학] SCM부문 - 경력직,경기 성남시 분당구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604130000116&src=etc*search
3,주식회사 라피플코리아리미티드,국내 중견 제조그룹 해외생산법인 - SCM 팀장 포지션,베트남,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603190000802&src=etc*search
4,(주)피플렙,외국계 케미칼 SCM 공장물류 (신입-3년),울산 남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604170003299&src=etc*search
5,온리원파트너스(주),[글로벌음료프랜차이즈중견기업] SCM Manager 채용,서울 성동구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603230000989&src=etc*search
6,(주)스카우트파트너스,"[상장 의료기기  전문기업] SCM Planner (과, 차장)",서울,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604230001042&src=etc*search
7,(주)엔터웨이파트너스,[매출 2조. 상장사] 인도생산법인(첸나이) SCM 담당(주재원),인도,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605110004370&src=etc*search
8,프로페셔날핸즈인핸즈코리아(주),화장품 중견기업 글로벌 SCM팀장 (차장-부장급) 정규직 채용,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605080004819&src=etc*search
9,유한킴벌리(주),[유한킴벌리] SCM혁신부문 Product Supply Planner 신입·경력 채용,서울 송파구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605110004420&src=etc*search
10,주식회사지에스아이티엠,SAP ERP SCM모듈 운영/개발 담당자 모집(경력 5년 이상),서울 종로구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604130002399&src=etc*search
11,휴머레인컨설팅,긴급) SCM담당 (대리/과장급) - K뷰티 글로벌 유통사 - 최우대,서울 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605010001446&src=etc*search
12,(주)피플스카우트,[글로벌 브랜드]해외 가전 브랜드 국내 수입 SCM 담당/사원-대리급,서울 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604200002433&src=etc*search
13,휴머레인컨설팅,"긴급) SCM리더급 (7년 이상,뷰티 경력자) - K뷰티 글로벌 유통사 - 최우대",서울 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605010001478&src=etc*search
14,scm,"출하부 사원 모집,성주2차산업단지(영업창고 제품 상하차 및 입출고, 창고관리 사원를 모집합니다.)",경북 성주군,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605110001817&src=etc*search
15,scm,"5톤 축차 배송기사 모집 (지방 장거리운행, 건축자재 지방업체로 배송납품 .근무지역 : 대구 )",경북 성주군,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605110002102&src=etc*search
16,에스에프인촌 주식회사,구매팀장 경력인재 채용 - F&B 우량중견기업,서울 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605010001046&src=etc*search
17,주식회사 코어포인트,"공급계획 시스템 담당(유관경력 5년 이상), 리딩 뷰티 기업(서울 용산)",서울,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605110001070&src=etc*search
18,(주) 브로우맥스,[브로우맥스] 구매팀 주임급 (경력 1-4년),경기 화성시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604160000345&src=etc*search
19,(주)엔터웨이파트너스,구매팀 회로구매 (대리/과장급)-위성통신 제품 글로벌 수출 우량기업,경기,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605080002951&src=etc*search
20,(주)스카우트파트너스,[상장 의료기기  전문기업] 구매 팀장,충남 천안시 서북구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604220003355&src=etc*search
21,(주)스카우트,ERP Business Systems Analyst(Finance & Supply Chain)-미국상장기업,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604180000192&src=etc*search
22,한양세미텍,(주)유원 본사 자재관리 채용 (신입/경력),경기 오산시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605060004493&src=etc*search
23,(주) 에스유스카우트,[프랜차이즈 기업] 구매물류 (대리급),서울 금천구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604170000747&src=etc*search
24,(주)아모레퍼시픽,[경력] 26년 AMOREPACIFIC 경력채용 공급계획 시스템 담당,서울,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605120000080&src=etc*search
25,주식회사 히든스카우트,[BIG 4 컨설팅펌] 경영 컨설턴트,서울 영등포구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604220002047&src=etc*search
26,퍼솔켈리코리아 유한회사,"[무역상사] 일본 해외영업, 신입가능 / 부산",부산 사하구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604270002614&src=etc*search
27,(주)벤처피플,F&B기업/ 구매팀장 채용,서울 종로구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604120000109&src=etc*search
28,(주)김천베아링,사무직 직원 모집,부산 사상구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604290003523&src=etc*search
29,(주)에이치알컨설팅그룹,"WEB 및 F/W 개발, 제조 IT 솔루션 기획 경력직",서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603270001953&src=etc*search
30,휴젤(주),[외주운영팀] 화장품 구매 담당 경력,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604150000361&src=etc*search
